scaffold	start	end	mid	sites	lnL
Chr2	45178729	45179427	45179027	50	-2171.43132
Chr2	45179464	45181506	45180379	50	-1984.05759
Chr2	45181507	45182726	45182065	50	-2067.81934
Chr2	45182728	45184185	45183407	50	-2048.50956
Chr2	45184191	45187394	45185536	50	-1708.69995
Chr2	45187422	45189520	45188604	50	-1928.90023
Chr2	45189525	45191130	45190242	50	-2225.63396
Chr2	45191155	45194038	45192277	50	-1874.01164
Chr2	45194064	45195992	45194911	50	-2178.19828
Chr2	45195993	45198241	45197054	50	-2237.65059
Chr2	45198242	45201311	45200068	50	-1607.81471
Chr2	45201324	45205650	45203224	50	-1581.74811
Chr2	45205706	45219721	45213909	50	-1438.56092
Chr2	45219911	45227460	45223188	50	-1321.09261
Chr2	45227463	45233036	45230174	50	-1820.89847
Chr2	45233449	45239942	45236807	50	-1885.85342
Chr2	45239963	45241779	45240883	50	-2487.10397
Chr2	45242155	45244562	45243583	50	-2128.26109
Chr2	45244563	45246527	45245258	50	-2239.40506
Chr2	45246528	45248885	45247639	50	-2379.03277
Chr2	45248893	45253563	45250871	50	-2116.36979
Chr2	45253570	45256572	45255444	50	-1679.75951
Chr2	45256619	45257881	45257362	50	-2771.67583
Chr2	45257883	45258810	45258273	50	-3218.80644
Chr2	45258824	45259821	45259328	50	-2324.13584
Chr2	45259830	45262315	45260802	50	-1987.31724
Chr2	45262325	45267007	45263976	50	-1973.22543
Chr2	45267085	45276776	45271828	50	-1468.58902
Chr2	45276787	45278793	45277495	50	-2126.15932
Chr2	45278800	45280368	45279636	50	-2327.21086
Chr2	45280392	45281250	45280778	50	-1280.27204
Chr2	45281288	45284034	45282071	50	-1320.76916
Chr2	45284234	45288343	45286850	50	-961.53215
Chr2	45288346	45289891	45289496	50	-827.61226
Chr2	45289910	45291011	45290415	50	-855.14855
Chr2	45291068	45292739	45292154	50	-1271.84093
Chr2	45292779	45295194	45293947	50	-1097.86646
Chr2	45295195	45299199	45296915	50	-1183.61740
Chr2	45299226	45301151	45300265	50	-1337.99949
Chr2	45301160	45302324	45301745	50	-1466.35172
Chr2	45302380	45303503	45302908	50	-1732.39300
Chr2	45303532	45304577	45303986	50	-1424.05171
Chr2	45304633	45305846	45305386	50	-1729.39384
Chr2	45305855	45312194	45308653	50	-2092.85023
Chr2	45312425	45319772	45317484	50	-2234.71174
Chr2	45319776	45323584	45322064	50	-1323.15945
Chr2	45323625	45327548	45325646	50	-1431.18852
Chr2	45327563	45333877	45329311	50	-1832.05308
Chr2	45333885	45339250	45337076	50	-2116.15913
Chr2	45339356	45350901	45347827	50	-1622.36058
Chr2	45350968	45352662	45351613	50	-1416.94223
Chr2	45352739	45355726	45354497	50	-1673.64239
Chr2	45355747	45356906	45356370	50	-2228.66173
Chr2	45356911	45358178	45357520	50	-1787.10059
Chr2	45358185	45367933	45364891	50	-1850.07139
Chr2	45367997	45369446	45368824	50	-1967.53777
Chr2	45369478	45370736	45369896	50	-2199.88501
Chr2	45370742	45372455	45371652	50	-2076.82209
Chr2	45372474	45373109	45372843	50	-2204.27572
Chr2	45373122	45373850	45373556	50	-1964.21747
Chr2	45373859	45375760	45374432	50	-2320.73837
Chr2	45375779	45376354	45376089	50	-2561.01763
Chr2	45376366	45376999	45376729	50	-1212.11582
Chr2	45377005	45377558	45377321	50	-2019.94352
Chr2	45377578	45378096	45377817	50	-1546.07652
Chr2	45378097	45379213	45378471	50	-1426.31244
Chr2	45379215	45379835	45379518	50	-1686.67880
Chr2	45379855	45380882	45380253	50	-1803.97627
Chr2	45380889	45382352	45381639	50	-2037.52907
Chr2	45382380	45383557	45382885	50	-1912.87934
Chr2	45383570	45385977	45384992	50	-1697.44190
Chr2	45385978	45387445	45386685	50	-1620.04281
Chr2	45387476	45388251	45388014	50	-2300.10173
Chr2	45388257	45394831	45391507	50	-1906.21977
Chr2	45394863	45397156	45396224	50	-1751.59346
Chr2	45397229	45400720	45398770	50	-1992.40208
Chr2	45400797	45402129	45401376	50	-1738.99401
Chr2	45402147	45403278	45402602	50	-1450.02217
Chr2	45403279	45404089	45403759	50	-1625.84691
Chr2	45404093	45405441	45404609	50	-1626.02571
Chr2	45405547	45407830	45406702	50	-1912.86285
Chr2	45407860	45410240	45408889	50	-1659.85687
Chr2	45410256	45413494	45411897	50	-2199.18858
Chr2	45413613	45415335	45414345	50	-2580.08539
Chr2	45415373	45418723	45416881	50	-2507.00952
Chr2	45418802	45422204	45421094	50	-1839.65910
Chr2	45422208	45424435	45423221	50	-1751.96555
Chr2	45424472	45425647	45425020	50	-1632.74517
Chr2	45425648	45429453	45427525	50	-1814.69390
Chr2	45429476	45431567	45430717	50	-2120.76655
Chr2	45431629	45435889	45433987	50	-2293.17928
Chr2	45435918	45445373	45442095	50	-3145.86457
Chr2	45445377	45447319	45446061	50	-2059.60552
Chr2	45447378	45448930	45448257	50	-2186.86982
Chr2	45448957	45461660	45455860	50	-2177.25383
Chr2	45461676	45469023	45465935	50	-2501.11635
Chr2	45469029	45478042	45471696	50	-2621.03771
Chr2	45478048	45485863	45481544	50	-1869.15509
Chr2	45485870	45490006	45487099	50	-2089.81862
Chr2	45490009	45493458	45491573	50	-1697.37225
Chr2	45493472	45495856	45494674	50	-1935.67715
Chr2	45495921	45499173	45497846	50	-1645.69744
Chr2	45499202	45501998	45500862	50	-2219.94295
Chr2	45502024	45503510	45502870	50	-1828.87271
Chr2	45503520	45504206	45503829	50	-1691.14925
Chr2	45504268	45505385	45504988	50	-1585.19690
Chr2	45505402	45506838	45506022	50	-2056.65519
Chr2	45506843	45510371	45508814	50	-2342.44667
Chr2	45510391	45513761	45512425	50	-2079.40565
Chr2	45513805	45514550	45514113	50	-2151.05678
Chr2	45514563	45515944	45515448	50	-2093.63796
Chr2	45516102	45517596	45516891	50	-1846.41115
Chr2	45517651	45519508	45518623	50	-1977.52659
Chr2	45519536	45521665	45520315	50	-1563.31431
Chr2	45521668	45522598	45522288	50	-1379.87148
Chr2	45522599	45524773	45523823	50	-1770.57551
Chr2	45524846	45526447	45525794	50	-2049.30973
Chr2	45526453	45527435	45526969	50	-2355.24233
Chr2	45527448	45529249	45528394	50	-1970.09817
Chr2	45529260	45531030	45529993	50	-1369.73451
Chr2	45531115	45533127	45532022	50	-2056.86604
Chr2	45533133	45542192	45538110	50	-2305.89363
Chr2	45542241	45547408	45544231	50	-2173.87229
Chr2	45547419	45549421	45548233	50	-1776.96065
Chr2	45549610	45551505	45550878	50	-2927.70602
Chr2	45551548	45552991	45552401	50	-1604.97898
Chr2	45553075	45555124	45554162	50	-1973.54857
Chr2	45555164	45557029	45555878	50	-2078.43903
Chr2	45557031	45558482	45557968	50	-2075.28365
Chr2	45558497	45559871	45559188	50	-1851.25266
Chr2	45559875	45561052	45560614	50	-1966.14957
Chr2	45561058	45563637	45562318	50	-1880.94313
Chr2	45563710	45565704	45564735	50	-2249.68491
Chr2	45565760	45568721	45567393	50	-1839.48049
Chr2	45568725	45570154	45569622	50	-2072.46262
Chr2	45570157	45570820	45570547	50	-2254.26703
Chr2	45570821	45571467	45571139	50	-2011.39693
Chr2	45571472	45575411	45573770	50	-1296.80012
Chr2	45575454	45578978	45577515	50	-1420.36892
Chr2	45578983	45579404	45579240	50	-1376.66079
Chr2	45579408	45580618	45579758	50	-1770.92992
Chr2	45580708	45582782	45581784	50	-1362.51786
Chr2	45582792	45584166	45583458	50	-1595.32784
Chr2	45584169	45586234	45585235	50	-1932.89488
Chr2	45586253	45587654	45586834	50	-1607.77048
Chr2	45587690	45589967	45588637	50	-1528.97051
Chr2	45589969	45591567	45591110	50	-1673.02973
Chr2	45591602	45594848	45593150	50	-1120.99287
Chr2	45594869	45596304	45595527	50	-1854.10249
Chr2	45596311	45597999	45596857	50	-1188.73604
Chr2	45598001	45600128	45599049	50	-1787.80757
Chr2	45600152	45601878	45601101	50	-1359.32858
Chr2	45601883	45606127	45603426	50	-1642.26838
Chr2	45606168	45620828	45610744	50	-1617.92704
Chr2	45620833	45625548	45623814	50	-1922.41352
Chr2	45625619	45626736	45626435	50	-1812.81148
Chr2	45626737	45632793	45630445	50	-1264.34693
Chr2	45632823	45634804	45633526	50	-1305.74646
Chr2	45635001	45637032	45636049	50	-1403.26252
Chr2	45637054	45638590	45637663	50	-1512.61544
Chr2	45638679	45640839	45639837	50	-1354.02328
Chr2	45640863	45643267	45641946	50	-1651.71384
Chr2	45643275	45647034	45645117	50	-1395.93236
Chr2	45647051	45651353	45648996	50	-1730.51795
Chr2	45651418	45654957	45653377	50	-1295.11260
Chr2	45654989	45658109	45656286	50	-1029.14846
Chr2	45658139	45663165	45660692	50	-1358.13505
Chr2	45663513	45667433	45665616	50	-1670.92732
Chr2	45667451	45668338	45667929	50	-1936.37866
Chr2	45668353	45670542	45669875	50	-1653.15000
Chr2	45670545	45672561	45671275	50	-2011.27014
Chr2	45672567	45677526	45675805	50	-1891.91211
Chr2	45677528	45679314	45678760	50	-1925.36964
Chr2	45679610	45685158	45682265	50	-1164.95409
Chr2	45685222	45686548	45686004	50	-1784.24880
Chr2	45686559	45691969	45690197	50	-1970.82563
Chr2	45691975	45693302	45692497	50	-2663.61281
Chr2	45693382	45695820	45694470	50	-1951.80049
Chr2	45695965	45698936	45696918	50	-1632.30529
Chr2	45699027	45708902	45702284	50	-1903.04713
Chr2	45708909	45711558	45709897	50	-1858.24063
Chr2	45711627	45714886	45713451	50	-1994.55184
Chr2	45714891	45717754	45715804	50	-1446.66176
Chr2	45717836	45719496	45718956	50	-941.02035
Chr2	45719504	45722346	45721149	50	-1540.92450
Chr2	45722355	45724180	45723197	50	-1183.02445
Chr2	45724325	45725585	45725012	50	-1246.80137
Chr2	45725589	45727035	45726346	50	-1269.42141
Chr2	45727061	45731243	45729082	50	-1549.86855
Chr2	45731379	45734967	45733309	50	-1310.13064
Chr2	45734990	45737009	45736187	50	-1425.38994
Chr2	45737040	45738018	45737566	50	-1606.83353
Chr2	45738180	45739439	45738748	50	-1237.66891
Chr2	45739441	45740662	45739990	50	-1711.62595
Chr2	45740664	45742397	45741467	50	-1730.05482
Chr2	45742584	45745005	45743709	50	-1411.49910
Chr2	45745009	45749316	45746286	50	-1866.87743
Chr2	45749372	45752427	45750784	50	-1313.29525
Chr2	45752572	45755791	45754446	50	-2026.58656
Chr2	45755837	45756758	45756351	50	-1453.29506
Chr2	45756767	45758259	45757482	50	-1541.04575
Chr2	45758286	45759187	45758820	50	-1220.78945
Chr2	45759201	45759836	45759446	50	-1459.78584
Chr2	45759846	45761462	45760550	50	-1873.41465
Chr2	45761463	45763682	45762788	50	-1388.59286
Chr2	45763687	45763982	45763817	50	-2053.43089
Chr2	45763993	45765737	45764708	50	-2280.04597
Chr2	45765739	45772273	45768767	50	-1359.02174
Chr2	45772282	45777214	45774905	50	-1502.17463
Chr2	45777217	45779124	45778205	50	-1438.30361
Chr2	45779173	45780837	45779919	50	-1330.83568
Chr2	45780983	45783421	45782193	50	-1276.49212
Chr2	45783423	45785640	45784489	50	-1293.35120
Chr2	45785651	45787937	45786620	50	-1110.07641
Chr2	45787957	45792582	45790234	50	-1985.47055
Chr2	45792633	45793257	45793023	50	-1790.21741
Chr2	45793258	45798294	45794821	50	-1482.10491
Chr2	45798325	45803995	45801391	50	-1871.41437
Chr2	45804010	45810115	45806389	50	-1381.13874
Chr2	45810396	45814356	45813068	50	-1578.52575
Chr2	45814358	45815418	45814801	50	-1645.83249
Chr2	45815619	45821679	45819343	50	-1456.92981
Chr2	45821706	45826417	45823799	50	-1703.51876
Chr2	45826451	45832506	45830866	50	-1437.08429
Chr2	45832510	45834863	45833248	50	-1472.66482
Chr2	45834906	45840956	45837094	50	-1806.80362
Chr2	45841113	45849561	45846481	50	-1311.10104
Chr2	45849711	45853132	45851322	50	-1271.76482
Chr2	45853188	45857205	45855075	50	-1385.40833
Chr2	45857282	45862482	45859254	50	-2010.40092
Chr2	45862606	45868752	45866835	50	-1410.63076
Chr2	45868767	45872112	45870860	50	-1131.69254
Chr2	45872133	45874108	45873190	50	-1224.94276
Chr2	45874109	45877428	45875697	50	-1774.29032
Chr2	45877755	45880150	45879742	50	-1786.52543
Chr2	45880164	45882971	45881306	50	-1534.86143
Chr2	45882977	45888064	45885517	50	-1392.16736
Chr2	45888111	45890551	45889630	50	-1256.64402
Chr2	45890554	45892328	45891596	50	-1250.42813
Chr2	45892333	45895681	45893789	50	-1615.51431
Chr2	45895690	45902358	45897984	50	-1458.20027
Chr2	45902446	45909397	45905294	50	-1170.67993
Chr2	45909408	45914125	45912187	50	-1283.80776
Chr2	45914173	45923010	45919495	50	-1587.11206
Chr2	45923182	45933848	45927256	50	-1800.55629
Chr2	45933851	45936175	45935135	50	-702.48785
Chr2	45936473	45939456	45937829	50	-879.15510
Chr2	45939463	45947622	45942212	50	-1128.64470
Chr2	45947626	45950071	45948569	50	-1278.45717
Chr2	45950073	45954099	45952030	50	-1074.74046
Chr2	45954301	45955829	45955215	50	-989.15372
Chr2	45955835	45956975	45956299	50	-969.96925
Chr2	45956977	45958117	45957553	50	-1114.33458
Chr2	45958119	45958989	45958707	50	-763.36397
Chr2	45959080	45959767	45959342	50	-932.23758
Chr2	45959778	45960864	45960431	50	-934.26171
Chr2	45960875	45962398	45961486	50	-773.34970
Chr2	45962406	45966369	45964468	50	-999.88878
Chr2	45966443	45969126	45967995	50	-1234.81050
Chr2	45969138	45971546	45970053	50	-1367.99129
Chr2	45971590	45980899	45974848	50	-1339.84386
Chr2	45980978	45985522	45984426	50	-1155.95766
Chr2	45985534	45986357	45986108	50	-1312.95358
Chr2	45986358	45986898	45986622	50	-1871.45933
Chr2	45986914	45989423	45988545	50	-1944.71879
Chr2	45989447	45990319	45989846	50	-1813.70764
Chr2	45990322	45992714	45991302	50	-986.71965
Chr2	45992746	45996678	45994882	50	-1058.16836
Chr2	45996735	46008312	45999916	50	-1709.40259
Chr2	46008320	46014105	46011320	50	-1524.80854
Chr2	46014185	46016172	46015375	50	-1855.71733
Chr2	46016173	46032843	46022776	50	-2381.72792
Chr2	46032852	46041830	46036037	50	-2652.76268
Chr2	46041906	46046534	46044308	50	-1276.17724
Chr2	46046585	46059113	46055816	50	-1741.84068
Chr2	46059155	46060617	46059785	50	-1889.03775
Chr2	46060625	46063385	46061667	50	-2252.90018
Chr2	46063443	46064637	46064075	50	-2362.98187
Chr2	46064662	46065683	46065199	50	-1333.40841
Chr2	46065705	46066848	46066193	50	-1672.72013
Chr2	46066851	46069322	46067996	50	-1994.76245
Chr2	46069335	46074192	46071554	50	-1116.66982
Chr2	46074328	46078289	46077044	50	-1638.18537
Chr2	46078298	46080080	46079090	50	-1833.96424
Chr2	46080122	46080612	46080394	50	-2282.25375
Chr2	46080627	46081626	46081257	50	-1765.64611
Chr2	46081634	46082735	46082056	50	-1692.75447
Chr2	46082807	46083478	46083136	50	-2004.01075
Chr2	46083499	46083982	46083805	50	-1823.03731
Chr2	46083990	46085164	46084540	50	-1588.02048
Chr2	46085167	46087497	46086183	50	-1132.82351
Chr2	46087549	46089887	46088650	50	-1194.23652
Chr2	46089924	46092085	46091017	50	-1562.39307
Chr2	46092138	46095320	46093819	50	-861.87596
Chr2	46095325	46098006	46096732	50	-1435.84682
Chr2	46098010	46099515	46098871	50	-2140.06702
Chr2	46099517	46100382	46099925	50	-2303.80118
Chr2	46100429	46101191	46100803	50	-2058.69816
Chr2	46101208	46101971	46101593	50	-2213.76709
Chr2	46101985	46104498	46103212	50	-2885.30118
Chr2	46104531	46106529	46105456	50	-1058.81300
Chr2	46106568	46108132	46107315	50	-1293.48562
Chr2	46108165	46109226	46108638	50	-1382.31845
Chr2	46109234	46110367	46109856	50	-1528.39261
Chr2	46110375	46111475	46110899	50	-1330.24113
Chr2	46111478	46112412	46111968	50	-1588.75269
Chr2	46112414	46113219	46112658	50	-1469.61225
Chr2	46113240	46114067	46113692	50	-1212.01279
Chr2	46114082	46114824	46114326	50	-1765.47135
Chr2	46114831	46115876	46115460	50	-1635.97962
Chr2	46115886	46116428	46116127	50	-1502.74867
Chr2	46116431	46117822	46116974	50	-1271.12037
Chr2	46117826	46120498	46119003	50	-1295.98565
Chr2	46120570	46122347	46121420	50	-1354.37181
Chr2	46122359	46124537	46123497	50	-1269.25167
Chr2	46124549	46128201	46125751	50	-1375.95335
Chr2	46128206	46136616	46133553	50	-1584.24055
Chr2	46136619	46138299	46137338	50	-1184.17880
Chr2	46138302	46140111	46139232	50	-1342.42267
Chr2	46140121	46141977	46141189	50	-1143.74090
Chr2	46142027	46144123	46143209	50	-1538.03445
Chr2	46144150	46145874	46144844	50	-1443.69799
Chr2	46145912	46149305	46146952	50	-1416.18080
Chr2	46149383	46154108	46152213	50	-1780.22465
Chr2	46154122	46165476	46162421	50	-2175.84427
Chr2	46165549	46167294	46166687	50	-1876.64447
Chr2	46167297	46173901	46170642	50	-2848.59887
Chr2	46173980	46176571	46175467	50	-2068.44534
Chr2	46176693	46178783	46177879	50	-1723.06647
Chr2	46178787	46182347	46180338	50	-1833.28491
Chr2	46182591	46186285	46184542	50	-1774.37534
Chr2	46186286	46188234	46187286	50	-2072.25648
Chr2	46188262	46190163	46189260	50	-1505.50146
Chr2	46190203	46191967	46190950	50	-1494.84521
Chr2	46191990	46194358	46193037	50	-1594.54589
Chr2	46194405	46196677	46195767	50	-1829.92680
Chr2	46196724	46197943	46197492	50	-1302.40067
Chr2	46197948	46199092	46198477	50	-1276.45522
Chr2	46199139	46200775	46199724	50	-1349.86766
Chr2	46200821	46202953	46201754	50	-1235.75824
Chr2	46202961	46205112	46204161	50	-1260.64921
Chr2	46205235	46207476	46206326	50	-1522.10461
Chr2	46207493	46208935	46208135	50	-1006.50621
Chr2	46208950	46210427	46209741	50	-1572.32485
Chr2	46210438	46211876	46211207	50	-1721.11075
Chr2	46211878	46213022	46212372	50	-1966.23117
Chr2	46213034	46213524	46213269	50	-1944.69797
Chr2	46213545	46215670	46214498	50	-1644.49418
Chr2	46215729	46216901	46216453	50	-2159.37006
Chr2	46216905	46217761	46217370	50	-1786.44719
Chr2	46217763	46218654	46218195	50	-2437.54410
Chr2	46218655	46219159	46218861	50	-2733.36358
Chr2	46219169	46220068	46219551	50	-3009.75421
Chr2	46220075	46220515	46220293	50	-1349.42143
Chr2	46220520	46221569	46221187	50	-1657.67640
Chr2	46221595	46222694	46222149	50	-1358.51599
Chr2	46222730	46224281	46223415	50	-1869.50154
Chr2	46224284	46225204	46224600	50	-1325.18564
Chr2	46225209	46226347	46225640	50	-2100.78624
Chr2	46226376	46227156	46226715	50	-1631.42122
Chr2	46227188	46228486	46227862	50	-1172.97045
Chr2	46228504	46229933	46229081	50	-1596.74534
Chr2	46229943	46230882	46230302	50	-1460.81366
Chr2	46230905	46231787	46231349	50	-1590.45152
Chr2	46231824	46234234	46232925	50	-1747.00485
Chr2	46234270	46236648	46235282	50	-1542.16510
Chr2	46236753	46238204	46237623	50	-1409.94821
Chr2	46238208	46239574	46238831	50	-1529.37934
Chr2	46239635	46240281	46240001	50	-1531.34305
Chr2	46240292	46241397	46240886	50	-1767.98727
Chr2	46241467	46243988	46242760	50	-1512.65168
Chr2	46244013	46246558	46245274	50	-1629.54018
Chr2	46246597	46248641	46247896	50	-2080.26737
Chr2	46248651	46249918	46249267	50	-2325.98345
Chr2	46249931	46251008	46250544	50	-2587.11453
Chr2	46251041	46253997	46252394	50	-1775.60720
Chr2	46254123	46257345	46255619	50	-2104.56717
Chr2	46257349	46260398	46258782	50	-1294.98278
Chr2	46260752	46263470	46262289	50	-1714.45972
Chr2	46263486	46265082	46264408	50	-1690.40321
Chr2	46265106	46266486	46265681	50	-1288.03477
Chr2	46266563	46267216	46266880	50	-1396.44354
Chr2	46267229	46268070	46267583	50	-1726.19526
Chr2	46268116	46270025	46269056	50	-1534.47325
Chr2	46270192	46272556	46271445	50	-1291.52635
Chr2	46272590	46273885	46273294	50	-1806.25201
Chr2	46273888	46275795	46274717	50	-2011.90890
Chr2	46275802	46279099	46277046	50	-2139.23657
Chr2	46279175	46281438	46280587	50	-2185.49789
Chr2	46281454	46283742	46282260	50	-2149.72377
Chr2	46283817	46285187	46284739	50	-1492.59695
Chr2	46285753	46295161	46289348	50	-2064.32441
Chr2	46295179	46296105	46295631	50	-1031.86583
Chr2	46296113	46297014	46296582	50	-1056.80111
Chr2	46297020	46297639	46297349	50	-1457.21408
Chr2	46297640	46305234	46298418	50	-1576.53420
Chr2	46305486	46313075	46310456	50	-2527.78924
Chr2	46313111	46332222	46323452	50	-1955.27967
Chr2	46332225	46335991	46335455	50	-1489.09968
Chr2	46336033	46336770	46336353	50	-1303.98681
Chr2	46336796	46337821	46337343	50	-1805.91050
Chr2	46337822	46338936	46338433	50	-1438.37665
Chr2	46338950	46339655	46339324	50	-1335.03683
Chr2	46339658	46340246	46339990	50	-1310.84793
Chr2	46340271	46340776	46340517	50	-1430.19473
Chr2	46340777	46341292	46341076	50	-1093.05339
Chr2	46341294	46341749	46341519	50	-1317.94762
Chr2	46341765	46342444	46342116	50	-1210.63600
Chr2	46342446	46343302	46342713	50	-1486.09466
Chr2	46343321	46344310	46343966	50	-1764.49902
Chr2	46344313	46345342	46344933	50	-1822.57909
Chr2	46345418	46346070	46345693	50	-1940.98252
Chr2	46346074	46347130	46346481	50	-1719.78680
Chr2	46347134	46349125	46347985	50	-1734.60759
Chr2	46349126	46350158	46349686	50	-1173.26085
Chr2	46350159	46351022	46350711	50	-1631.00242
Chr2	46351024	46351466	46351204	50	-1023.69633
Chr2	46351468	46352418	46352093	50	-1021.72717
Chr2	46352420	46353020	46352677	50	-1007.77599
Chr2	46353032	46353715	46353314	50	-1036.73985
Chr2	46353718	46354502	46354222	50	-601.68814
Chr2	46354522	46355328	46354890	50	-850.47115
Chr2	46355375	46358893	46356637	50	-1389.68274
Chr2	46358894	46364560	46362358	50	-1648.49891
Chr2	46364567	46365588	46365207	50	-1248.72405
Chr2	46365609	46366222	46365958	50	-1150.18807
Chr2	46366226	46366694	46366491	50	-1193.99959
Chr2	46366700	46367415	46367033	50	-1025.54433
Chr2	46367419	46369075	46368081	50	-953.64724
Chr2	46369091	46370163	46369563	50	-763.60175
Chr2	46370171	46373203	46371045	50	-691.04183
Chr2	46373269	46377358	46375143	50	-1392.23154
Chr2	46377417	46384041	46381040	50	-1276.89440
Chr2	46384246	46387415	46385998	50	-1203.14674
Chr2	46387473	46390333	46388784	50	-1077.99061
Chr2	46390380	46393723	46392111	50	-1177.12334
Chr2	46393875	46397216	46395653	50	-1161.75503
Chr2	46397264	46399854	46398761	50	-1518.72041
Chr2	46399859	46403034	46401354	50	-1418.73792
Chr2	46403056	46405341	46404085	50	-1605.03248
Chr2	46405414	46407518	46406414	50	-1341.97943
Chr2	46407560	46410404	46408949	50	-1159.47428
Chr2	46410424	46423330	46419557	50	-1219.47485
Chr2	46423358	46425543	46424393	50	-1151.71553
Chr2	46425599	46428396	46426783	50	-1137.20201
Chr2	46428440	46431182	46429886	50	-1362.15683
Chr2	46431198	46434049	46432654	50	-2278.97141
Chr2	46434075	46437966	46435979	50	-1444.11163
Chr2	46437990	46439939	46439403	50	-695.82094
Chr2	46439943	46441056	46440396	50	-396.37112
Chr2	46441065	46442894	46441703	50	-1570.34791
Chr2	46443108	46447320	46446126	50	-1214.64110
Chr2	46447348	46455736	46448502	50	-625.05148
Chr2	46455910	46458013	46457440	50	-1135.85829
Chr2	46458015	46459651	46458570	50	-428.53307
Chr2	46459664	46461804	46460528	50	-1053.74330
Chr2	46461824	46463833	46462823	50	-674.45091
Chr2	46463872	46465680	46464711	50	-838.92813
Chr2	46465686	46466868	46466295	50	-808.45572
Chr2	46466872	46470405	46467822	50	-789.34164
Chr2	46470431	46472406	46471666	50	-1152.78713
Chr2	46472423	46473535	46473095	50	-1380.06792
Chr2	46473544	46475215	46474329	50	-1505.91072
Chr2	46475216	46477235	46476223	50	-794.79704
Chr2	46477243	46478600	46478126	50	-934.94343
Chr2	46478604	46480579	46479594	50	-1173.74277
Chr2	46480654	46482985	46481421	50	-1139.71154
Chr2	46483048	46485654	46484262	50	-1223.92102
Chr2	46485778	46486629	46486473	50	-1803.47727
Chr2	46486631	46487936	46487166	50	-2131.91627
Chr2	46487940	46489552	46488792	50	-1277.64785
Chr2	46489558	46490994	46490253	50	-927.56379
Chr2	46491024	46492072	46491571	50	-666.16316
Chr2	46492073	46493490	46492876	50	-1530.59741
Chr2	46493495	46494066	46493788	50	-2228.68196
Chr2	46494075	46495637	46494565	50	-1978.42711
Chr2	46495641	46497812	46496555	50	-552.04900
Chr2	46497934	46499644	46498850	50	-1061.98477
Chr2	46499649	46501952	46501153	50	-813.71907
Chr2	46501960	46503930	46502824	50	-512.50298
Chr2	46503947	46505538	46504822	50	-1621.04372
